LASTREPORTEDDATE,STATION_ID,REGION_ID,RegionName,STATIONNAME,SHORT_NAME,LATITUDE,LONGITUDE,NUM_EBIKES_AVAILABLE,NUM_BIKES_AVAILABLE,NUM_DOCKS_AVAILABLE,CAPACITY,HAS_KIOSK
11/26/2019,170,10,Boston,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,C32030,42.303469,-71.085347,0,5,9,14,TRUE
11/26/2019,163,10,Boston,The Lawn on D,C32028,42.344792,-71.044024,0,10,9,19,TRUE
11/26/2019,202,10,Boston,Grove Hall Library - 41 Geneva Ave,B32028,42.30791,-71.080952,0,6,9,15,TRUE
11/26/2019,210,10,Boston,Bennington St at Byron St,A32028,42.383533,-71.016191,0,6,9,15,TRUE
11/26/2019,350,10,Boston,Codman Square Library,C32055,42.287361,-71.071111,0,8,9,17,TRUE
11/26/2019,273,10,Boston,Forest Hills,E32010,42.300923,-71.114249,0,31,9,40,TRUE
11/26/2019,391,104,Everett,Encore,V32005,42.393293,-71.072448,0,6,9,15,TRUE
11/26/2019,392,104,Everett,Glendale Square (Ferry St at Broadway),V32006,42.414802,-71.047726,0,6,9,15,TRUE
11/26/2019,208,10,Boston,Oak Square - 615 Washington St,D32031,42.35057,-71.166491,0,6,9,15,TRUE
11/26/2019,95,8,Cambridge,Cambridge St - at Columbia St / Webster Ave,M32007,42.372969,-71.094445,0,6,9,15,TRUE
11/26/2019,141,8,Cambridge,Kendall Street,M32032,42.36356,-71.082168,0,6,9,15,TRUE
11/26/2019,112,9,Somerville,Clarendon Hill at Broadway,S32010,42.406302,-71.132446,0,6,9,15,TRUE
11/26/2019,140,8,Cambridge,Danehy Park,M32031,42.388966,-71.132788,0,9,8,17,TRUE
11/26/2019,67,8,Cambridge,MIT at Mass Ave / Amherst St,M32006,42.3581,-71.093198,0,19,8,27,TRUE
11/26/2019,360,10,Boston,Bartlett St at John Elliot Sq,B32055,42.329463,-71.090158,0,7,8,15,TRUE
11/26/2019,402,4,Brookline,Washington St at Griggs Rd,K32011,42.338334,-71.130509,0,7,8,15,TRUE
11/26/2019,191,4,Brookline,Tappan St at Brookline Hills MBTA,K32008,42.332096,-71.128459,0,7,8,15,TRUE
11/26/2019,96,8,Cambridge,Cambridge Main Library at Broadway / Trowbridge St,M32013,42.373379,-71.111075,0,11,8,19,TRUE
11/26/2019,352,10,Boston,Ring Rd,C32058,42.348278,-71.080449,0,7,8,15,TRUE
11/26/2019,159,10,Boston,S Huntington Ave at Heath St,E32007,42.327604,-71.110892,0,7,8,15,TRUE
11/26/2019,224,8,Cambridge,Fresh Pond Reservation,M32051,42.382678,-71.143479,0,7,8,17,TRUE
11/26/2019,188,9,Somerville,Foss Park,S32015,42.391084,-71.090394,0,7,8,15,TRUE
11/26/2019,387,104,Everett,Norman St at Kelvin St,V32001,42.405812,-71.067089,0,7,8,15,TRUE
11/26/2019,46,10,Boston,Christian Science Plaza - Massachusetts Ave at Westland Ave,B32005,42.343666,-71.085824,0,10,8,19,TRUE
11/26/2019,30,10,Boston,Brigham Circle - Francis St at Huntington Ave,B32013,42.334629,-71.104079,0,7,8,15,TRUE
11/26/2019,201,10,Boston,NCAAA - Walnut Ave at Crawford St,B32027,42.316902,-71.091946,0,7,8,15,TRUE
11/26/2019,26,10,Boston,Washington St at Waltham St,D32002,42.34156,-71.06887,0,7,8,15,TRUE
11/26/2019,445,10,Boston,Geiger Gibson Community Health Center,C32090,42.318865,-71.045368,0,11,8,19,TRUE
11/26/2019,66,10,Boston,Allston Green District - Griggs St at Commonwealth Ave,A32017,42.349225,-71.132753,0,7,7,15,TRUE
11/26/2019,119,10,Boston,South Boston Library - 646 E Broadway,C32017,42.335741,-71.03877,0,8,7,15,TRUE
11/26/2019,4,10,Boston,Tremont St at E Berkeley St,C32000,42.345392,-71.069616,0,12,7,19,TRUE
11/26/2019,135,10,Boston,ID Building East,C32020,42.344827,-71.028664,0,9,7,17,TRUE
11/26/2019,92,10,Boston,University of Massachusetts Boston - Campus Center,C32014,42.312189,-71.036486,0,12,7,19,TRUE
11/26/2019,152,10,Boston,Ink Block - Harrison Ave at Herald St,C32025,42.345901,-71.063187,0,8,7,15,TRUE
11/26/2019,214,10,Boston,Airport T Stop - Bremen St at Brooks St,A32032,42.374083,-71.032742,0,3,7,11,TRUE
11/26/2019,15,10,Boston,Brighton Mills - 370 Western Ave,A32005,42.361546,-71.137762,0,8,7,15,TRUE
11/26/2019,233,4,Brookline,St Mary's,K32007,42.346197,-71.107287,0,8,7,15,TRUE
11/26/2019,422,10,Boston,Cummins at American Legion,C32079,42.278812,-71.116877,0,7,7,15,TRUE
11/26/2019,65,10,Boston,Boston Convention and Exhibition Center - Summer St at West Side Dr,D32018,42.347763,-71.04536,0,16,7,23,TRUE
